dest,mean_arr_delay_dest_airport
ABE,20.5
ABI,9.6
ABQ,-0.15384615384615385
ABR,106.8
ABY,64.5
ACK,-6.0
ACT,-8.0
ACY,10.2
ADQ,0.0
AEX,-7.285714285714286
AGS,-2.25
ALB,8.88
AMA,-1.4
ANC,-4.947368421052632
ASE,10.1
ATL,-0.040169133192389
ATW,11.166666666666666
ATY,-10.0
AUS,3.0833333333333335
AVL,3.0
AVP,7.0
AZA,-11.666666666666666
AZO,-18.0
BDL,13.5
BFF,86.0
BFL,-4.0
BFM,11.0
BGR,8.142857142857142
BHM,24.217391304347824
BIL,3.0
BIS,-15.285714285714286
BJI,-3.0
BLI,-3.5
BLV,0.0
BMI,26.75
BNA,5.515463917525773
BOI,1.5277777777777777
BOS,5.1256830601092895
BPT,-9.0
BQK,-10.666666666666666
BQN,-15.333333333333334
BRO,-11.0
BRW,-19.0
BTM,-16.0
BTR,36.333333333333336
BTV,11.285714285714286
BUF,2.7941176470588234
BUR,-3.242424242424242
BWI,-1.4881889763779528
BZN,-5.125
CAE,-4.357142857142857
CAK,2.8
CDV,81.0
CHA,-3.0714285714285716
CHO,-0.2
CHS,10.65625
CID,-4.615384615384615
CKB,4.0
CLE,6.126984126984127
CLL,-3.0
CLT,0.8445945945945946
CMH,4.245614035087719
CMI,2.5
CMX,-8.0
COD,-6.0
COS,-5.066666666666666
COU,-9.0
CPR,-12.5
CRP,-4.833333333333333
CRW,10.166666666666666
CSG,-3.0
CVG,24.59016393442623
CWA,-6.8
DAB,-11.5
DAL,5.920634920634921
DAY,12.64
DBQ,21.0
DCA,7.032258064516129
DEN,7.986149584487535
DFW,5.974789915966387
DHN,-16.0
DLH,13.0
DRO,53.6
DRT,-2.0
DSM,8.9
DTW,2.8487394957983194
DUT,-10.0
EAR,-6.0
EAT,6.0
EAU,-22.0
ECP,-4.0
EGE,-4.25
EKO,-13.0
ELM,4.2
ELP,2.727272727272727
ERI,-3.3333333333333335
EUG,41.0
EVV,-12.833333333333334
EWN,49.5
EWR,11.220095693779903
EYW,10.25
FAI,16.625
FAR,-11.125
FAT,-5.833333333333333
FAY,-7.2
FCA,42.0
FLG,-4.0
FLL,11.274809160305344
FLO,1.0
FNT,48.13333333333333
FSD,-5.461538461538462
FSM,-9.0
FWA,3.4166666666666665
GEG,-0.6521739130434783
GFK,-7.5
GGG,-17.0
GJT,-0.8571428571428571
GNV,2.5
GPT,21.333333333333332
GRB,-7.0
GRI,65.0
GRK,4.0
GRR,7.75
GSO,14.5
GSP,-9.125
GTF,-5.5
GTR,-11.0
GUC,-6.0
GUM,10.5
HDN,-5.0
HHH,1.0
HIB,-10.0
HLN,3.3333333333333335
HNL,2.1475409836065573
HOB,1.0
HOU,0.85
HPN,10.0
HRL,-8.333333333333334
HSV,6.166666666666667
HTS,22.0
HVN,0.0
HYS,118.0
IAD,9.756756756756756
IAH,1.1374407582938388
ICT,5.0
IDA,-14.666666666666666
ILM,-9.307692307692308
IMT,-3.0
IND,5.9855072463768115
INL,12.5
IPT,-2.0
ISN,-13.0
ISP,6.0
ITH,156.66666666666666
ITO,11.571428571428571
JAC,4.285714285714286
JAN,-1.3333333333333333
JAX,2.806451612903226
JFK,8.962962962962964
JHM,-5.0
JLN,-16.5
JNU,-6.6
KOA,5.107142857142857
KTN,15.666666666666666
LAN,-9.666666666666666
LAR,-13.666666666666666
LAS,2.7577092511013217
LAW,-8.5
LAX,12.547231270358306
LBB,-6.0
LBE,-18.0
LBF,-9.0
LCH,-15.0
LCK,-8.0
LEX,21.1
LFT,7.888888888888889
LGA,5.653846153846154
LGB,0.3
LIH,-1.5294117647058822
LIT,14.4375
LNK,10.0
LNY,-10.0
LRD,-10.0
LSE,14.2
LWB,17.0
LYH,-3.7142857142857144
MAF,5.166666666666667
MBS,3.6666666666666665
MCI,-0.618421052631579
MCO,6.5423728813559325
MDT,73.7
MDW,8.442477876106194
MEM,6.486486486486487
MFE,9.4
MFR,2.3125
MGM,11.0
MHK,-16.0
MHT,52.92307692307692
MIA,-0.5096153846153846
MKE,-1.6388888888888888
MKG,0.0
MLB,-14.0
MLI,-11.0
MMH,-3.0
MOB,20.5
MOT,3.5
MQT,371.0
MRY,-3.6666666666666665
MSN,19.857142857142858
MSO,-7.142857142857143
MSP,5.432558139534883
MSY,-2.0694444444444446
MTJ,-14.0
MVY,-21.5
MYR,-4.086956521739131
OAJ,-9.88888888888889
OAK,-3.578125
OGG,-4.384615384615385
OKC,2.76
OMA,4.414634146341464
ONT,11.652173913043478
ORD,6.31640625
ORF,2.810810810810811
ORH,38.0
OTH,64.0
PAE,-13.8
PAH,3.0
PBG,-16.0
PBI,10.2
PDX,-0.1623931623931624
PGD,-4.0
PGV,-3.5
PHF,36.0
PHL,9.606741573033707
PHX,9.221276595744682
PIA,10.0
PIE,-3.7142857142857144
PIR,16.0
PIT,4.354838709677419
PLN,-17.0
PNS,-1.4545454545454546
PQI,-19.0
PSC,-5.4
PSE,-35.0
PSG,-9.0
PSM,3.0
PSP,5.7272727272727275
PUB,-34.0
PUW,-4.0
PVD,0.5714285714285714
PVU,93.0
PWM,9.363636363636363
RAP,11.444444444444445
RDD,-0.5
RDM,-3.7857142857142856
RDU,25.071428571428573
RFD,-31.0
RHI,-18.0
RIC,15.789473684210526
RKS,29.0
RNO,-0.35
ROA,-3.642857142857143
ROC,12.6875
ROW,39.75
RST,1.0
RSW,3.1363636363636362
SAF,30.0
SAN,3.2777777777777777
SAT,2.440677966101695
SAV,11.666666666666666
SBA,4.7
SBN,-7.9
SBP,-10.0
SBY,-19.666666666666668
SCC,-8.0
SCE,19.75
SCK,-15.0
SDF,-5.075
SEA,4.6437246963562755
SFB,1.7222222222222223
SFO,5.147465437788019
SGF,-5.454545454545454
SGU,-7.0
SHD,-7.0
SHV,-5.0
SJC,3.8076923076923075
SJT,13.0
SJU,9.53125
SLC,-2.1129943502824857
SMF,5.391891891891892
SMX,-9.0
SNA,5.229166666666667
SPI,19.0
SPN,-6.0
SPS,-16.0
SRQ,12.125
STL,8.241379310344827
STS,-0.5
STT,-8.0
STX,-5.0
SUN,34.25
SUX,89.5
SWF,0.6666666666666666
SWO,-9.0
SYR,7.739130434782608
TLH,-5.615384615384615
TOL,0.0
TPA,0.3163265306122449
TRI,14.6
TTN,61.5
TUL,2.689655172413793
TUS,4.478260869565218
TVC,4.2
TWF,-2.5
TYR,41.0
TYS,-4.423076923076923
UIN,2.0
USA,2.5
VLD,0.0
VPS,17.625
WRG,-8.0
XNA,64.53333333333333
YAK,-14.5
YUM,3.3333333333333335
